ID,DUA_ID,IMAGE_NAME
341,4,dua_nudba15.gif
342,4,dua_nudba16.gif
343,4,dua_nudba17.gif
344,51,iftetah01.gif
345,51,iftetah02.gif
346,51,iftetah03.gif
347,51,iftetah04.gif
348,51,iftetah05.gif
349,51,iftetah06.gif
350,51,iftetah07.gif
351,51,iftetah08.gif
352,51,iftetah09.gif
353,51,iftetah10.gif
354,51,iftetah11.gif
355,41,mondaydua3.gif
