ID,AMAAL_ID,IMAGE_NAME
1,1,ya_man_arju.gif
2,2,rajab_daily1_a.gif
3,2,rajab_daily1_b.gif
4,2,rajab_daily1_c.gif
5,3,rajab_daily2_a.gif
6,3,rajab_daily2_b.gif
7,4,rajab_daily3_a.gif
8,4,rajab_daily3_b.gif
9,5,rajab_moonsighting1.gif
10,5,rajab_moonsighting2.gif
11,13,1strajabafterisha.gif
12,14,yamanyamleku.gif
13,15,allahummayamuzilla.gif
14,16,sabrashshakeerin.gif
15,17,khabalwafedoon.gif
16,29,rajab_moonsighting1.gif
17,29,rajab_moonsighting2.gif
18,32,shajaratin.gif
19,32,shajaratin1.gif
20,33,shaabania1.gif
