ID,MASTER_ID,NAME,ORDER_BY
1,1,آداب سفر,1
2,1,آداب زیارت,2
3,1,اذن دخول حرمهای شریفه,3
4,2,نجف اشرف,1
5,2,کوفه,2
6,2,کربلا معلی,3
7,2,کاظمین,4
8,2,سامره و بلد,5
9,1,زیارت انبیا، امامزادگان و قبور مومنان,4
10,3,مشهد مقدس,1
11,3,قم مقدس و تهران,2
15,5,مدینہ منورہ,2
