ID,NAME,SORT_ORDER
2,صفر المظفر,8
3,ربیع الاول,9
4,"ربيع الآخر, جمادی الاول, جمادی الاخر",10
5,متفرقہ,11
1,محرّم الحرام,7
7,رجب المرجب,1
8,شعبان المعظم,2
9,رمضان المبارک,3
11,ذی القعدہ,5
12,ذی الحجہ,6
10,شوال,4
